Year,Month,Day,Initial Price per ton,Retail Price per ton,Arrival Qty,Days
2017,1,1,,,,1
2017,1,2,787,2000,406,2
2017,1,3,787,2000,1839,3
2017,1,4,787,2000,731,4
2017,1,5,762,2000,644,5
2017,1,6,912,2000,760,6
2017,1,7,887,1800,873,7
2017,1,8,,,,8
2017,1,9,875,1800,340,9
2017,1,10,875,1800,340,10
2017,1,11,875,2000,1187,11
2017,1,12,875,2000,967,12
2017,1,13,875,2000,1004,13
2017,1,14,875,2000,1177,14
2017,1,15,,,,15
2017,1,16,775,1800,409,16
2017,1,17,775,1800,1258,17
2017,1,18,775,1800,794,18
2017,1,19,775,1800,476,19
2017,1,20,775,1800,1067,20
2017,1,21,687,1800,410,21
2017,1,22,,,,22
2017,1,23,750,1800,169,23
2017,1,24,750,1800,1027,24
2017,1,25,750,1800,1177,25
2017,1,26,,,,26
2017,1,27,750,1800,229,27
2017,1,28,750,1800,1776,28
2017,1,29,,,,29
2017,1,30,750,1800,1373,30
2017,1,31,775,1800,676,31
2017,2,1,775,1800,445,32
2017,2,2,775,1800,604,33
2017,2,3,750,1600,892,34
2017,2,4,750,1600,1029,35
2017,2,5,,,,36
2017,2,6,750,1600,1445,37
2017,2,7,800,1600,1960,38
2017,2,8,800,1600,1480,39
2017,2,9,800,1600,952,40
2017,2,10,800,1600,556,41
2017,2,11,800,1600,501,42
2017,2,12,,,,43
2017,2,13,800,1600,1572,44
2017,2,14,800,1600,1233,45
2017,2,15,800,1600,854,46
2017,2,16,800,1600,238,47
2017,2,17,800,1600,1674,48
2017,2,18,750,1800,535,49
2017,2,19,,,,50
2017,2,20,750,1800,1331,51
2017,2,21,750,1800,1524,52
2017,2,22,750,1800,743,53
2017,2,23,737,1600,716,54
2017,2,24,,,,55
2017,2,25,687,1600,2237,56
2017,2,26,,,,57
2017,2,27,725,1800,408,58
2017,2,28,725,1800,1857,59
2017,3,1,775,1800,445,60
2017,3,2,775,1800,604,61
2017,3,3,750,1600,892,62
2017,3,4,750,1600,1029,63
2017,3,5,,,,64
