Year,Month,Day,Initial Price per ton,Retail Price per ton,Arrival Qty,Days,
2019,8,6,3400,5000,290,948,
2019,8,7,3650,5000,28,949,
2019,8,8,3000,5000,291,950,
2019,8,9,3300,5000,302,951,
2019,8,10,2650,5000,296,952,
2019,8,11,,,,953,
2019,8,12,,,,954,
2019,8,13,3000,5000,933,955,
2019,8,14,2550,5000,365,956,
2019,8,15,,,,957,
2019,8,16,2000,5000,741,958,
2019,8,17,,,,959,
2019,8,18,,,,960,
2019,8,19,2000,5000,871,961,
2019,8,20,2500,6000,218,962,
2019,8,21,3000,6000,276,963,
2019,8,22,2150,5000,318,964,
2019,8,23,2000,5000,339,965,
2019,8,24,,,,966,
2019,8,25,,,,967,
2019,8,26,1600,5000,932,968,
2019,8,27,1850,5000,281,969,
2019,8,28,1500,5000,292,970,
2019,8,29,1600,4000,298,971,
2019,8,30,1500,4000,292,972,
2019,8,31,,,,973,
2019,9,1,,,,974,
2019,9,2,,,,975,
2019,9,3,2150,5000,779,976,
2019,9,4,1900,5000,326,977,
2019,9,5,1850,5000,308,978,
2019,9,6,1900,5000,278,979,
2019,9,7,1800,5000,239,980,
2019,9,8,,,,981,
2019,9,9,1800,5000,560,982,
2019,9,10,,,,983,
2019,9,11,1650,5000,606,984,
2019,9,12,1700,5000,329,985,
2019,9,13,1700,4000,348,986,
2019,9,14,1650,5000,339,987,
2019,9,15,,,,988,
2019,9,16,1500,5000,612,989,
2019,9,17,1550,4000,267,990,
2019,9,18,,,,991,
2019,9,19,1700,4000,341,992,
2019,9,20,1800,4000,301,993,
2019,9,21,1800,5000,174,994,
2019,9,22,,,,995,
2019,9,23,1900,5000,390,996,
2019,9,24,3300,5000,235,997,
2019,9,25,2500,5000,377,998,
2019,9,26,2750,5000,293,999,
2019,9,27,2150,6000,244,1000,
2019,9,28,2050,5000,260,1001,
2019,9,29,,,,1002,
2019,9,30,2500,5000,481,1003,
2019,10,1,4000,6000,231,1004,
2019,10,2,,,,1005,
2019,10,3,2500,5000,601,1006,
2019,10,4,,,,1007,
2019,10,5,,,,1008,
2019,10,6,,,,1009,
2019,10,7,2750,5000,498,1010,
2019,10,8,,,,1011,
2019,10,9,4200,6000,628,1012,
2019,10,10,3500,6000,263,1013,
2019,10,11,3500,6000,356,1014,
2019,10,12,3000,5000,304,1015,
2019,10,13,,,,1016,
2019,10,14,3500,6000,556,1017,
2019,10,15,3500,6000,303,1018,
2019,10,16,3200,5000,339,1019,
2019,10,17,2700,5000,313,1020,
2019,10,18,2500,5000,271,1021,
2019,10,19,2500,5000,267,1022,
2019,10,20,,,,1023,
2019,10,21,2700,5000,586,1024,
2019,10,22,3000,5000,339,1025,
2019,10,23,2700,5000,238,1026,
2019,10,24,2750,5000,258,1027,
2019,10,25,,,,1028,
2019,10,26,,,,1029,
2019,10,27,,,,1030,
2019,10,28,,,,1031,
2019,10,29,,,,1032,
2019,10,30,2500,5000,952,1033,
2019,10,31,,,,1034,
2019,11,1,2500,5000,722,1035,
2019,11,2,2500,5000,266,1036,
2019,11,3,,,,1037,
2019,11,4,2500,4000,483,1038,
2019,11,5,2500,5000,298,1039,
2019,11,6,2500,5000,264,1040,
2019,11,7,2500,5000,245,1041,
2019,11,8,2500,5000,240,1042,
2019,11,9,2400,5000,269,1043,
2019,11,10,,,,1044,
2019,11,11,2500,5000,435,1045,
2019,11,12,,,,1046,
2019,11,13,2500,5000,591,1047,
2019,11,14,2500,4000,348,1048,
2019,11,15,,,,1049,
2019,11,16,2000,5000,32,1050,
2019,11,17,,,,1051,
2019,11,18,1700,5000,542,1052,
2019,11,19,1500,4000,275,1053,
2019,11,20,,,,1054,
2019,11,21,1700,3500,280,1055,
2019,11,22,1500,4000,252,1056,
2019,11,23,1400,3500,261,1057,
2019,11,24,,,,1058,
2019,11,25,1700,4000,400,1059,
2019,11,26,1350,4000,234,1060,
2019,11,27,1200,4000,244,1061,
2019,11,28,1250,4000,247,1062,
2019,11,29,1000,4000,267,1063,
2019,11,30,1150,4000,141,1064,
2019,12,1,,,,1065,
2019,12,2,1050,3000,363,1066,
2019,12,3,1000,4000,179,1067,
2019,12,4,1000,3000,175,1068,
2019,12,5,,,,1069,
2019,12,6,950,4000,125,1070,
2019,12,7,850,3000,160,1071,
2019,12,8,,,,1072,
2019,12,9,850,3000,166,1073,
2019,12,10,950,3000,102,1074,
2019,12,11,850,3000,172,1075,
2019,12,12,850,3000,90,1076,
2019,12,13,2200,4000,672,1077,
2019,12,14,850,3000,92,1078,
2019,12,15,,,,1079,
2019,12,16,2200,4000,650,1080,
2019,12,17,900,2000,237,1081,
2019,12,18,900,2000,101,1082,
2019,12,19,850,2000,128,1083,
2019,12,20,850,2000,130,1084,
2019,12,21,800,2000,108,1085,
2019,12,22,,,,1086,
2019,12,23,850,2500,198,1087,
2019,12,24,800,3000,127,1088,
2019,12,25,,,,1089,
2019,12,26,700,2000,124,1090,
2019,12,27,650,2500,154,1091,
2019,12,28,750,2500,61,1092,
2019,12,29,,,,1093,
2019,12,30,800,3000,97,1094,
2019,12,31,800,2500,139,1095,
